kind,title,source_record,file_url,local_file,bytes,status
legislation,"Regulation on responsible lending to consumers, approved by the Decision No 60 of 12 March 2026",https://www.bnm.md/en/content/regulation-responsible-lending-consumers-approved-decision-no-60-12-march-2026-effect,https://www.bnm.md/files/Regulation on responsible lending to individuals.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\036__Regulation on responsible lending to individuals.pdf,273291,downloaded
legislation,"Regulation on responsible lending to consumers, approved by the Decision No 60 of 12 March 2026",https://www.bnm.md/en/content/regulation-responsible-lending-consumers-approved-decision-no-60-12-march-2026-effect,https://www.bnm.md/files/Regulation on responsible lending to individuals.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\037__Regulation on responsible lending to individuals.docx,58022,downloaded
legislation,EBD 176/2025 On the approval of the Regulation on the leverage and the amendment of certain normative acts of the National Bank of Moldova,https://www.bnm.md/en/content/regulation-leverage-banks-approved-decision-executive-board-national-bank-moldova-no274-10,https://www.bnm.md/files/Regulation leverage ratio 176 2025 eng_1.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\038__Regulation leverage ratio 176 2025 eng_1.pdf,240900,downloaded
legislation,EBD 176/2025 On the approval of the Regulation on the leverage and the amendment of certain normative acts of the National Bank of Moldova,https://www.bnm.md/en/content/regulation-leverage-banks-approved-decision-executive-board-national-bank-moldova-no274-10,https://www.bnm.md/files/Regulation leverage ratio 176 2025 eng_1.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\039__Regulation leverage ratio 176 2025 eng_1.docx,66080,downloaded
legislation,"Regulation on the Supervision of Foreign Exchange Entities, approved by the Decision of the Executive Board of the NBM No 163 of 17 July 2025 (in force from 30 July 2025)",https://www.bnm.md/en/content/regulation-supervision-foreign-exchange-entities-approved-decision-executive-board-nbm-no,https://www.bnm.md/files/1_2 HCE_Reg supraveghere_USV ENG.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\040__1_2 HCE_Reg supraveghere_USV ENG.pdf,354921,downloaded
legislation,"Regulation on the Supervision of Foreign Exchange Entities, approved by the Decision of the Executive Board of the NBM No 163 of 17 July 2025 (in force from 30 July 2025)",https://www.bnm.md/en/content/regulation-supervision-foreign-exchange-entities-approved-decision-executive-board-nbm-no,https://www.bnm.md/files/1_2 HCE_Reg supraveghere_USV ENG.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\041__1_2 HCE_Reg supraveghere_USV ENG.docx,63660,downloaded
legislation,"EBD 329/2024 On approval, amendment and repeal of some normative acts Of the National Bank of Moldova (on liquidity coverage requirement and stable funding requirement)",https://www.bnm.md/en/content/ebd-3292024-approval-amendment-and-repeal-some-normative-acts-national-bank-moldova,https://www.bnm.md/files/Reg LCR NSFR 329 2024 eng.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\042__Reg LCR NSFR 329 2024 eng.pdf,668119,downloaded
legislation,"EBD 329/2024 On approval, amendment and repeal of some normative acts Of the National Bank of Moldova (on liquidity coverage requirement and stable funding requirement)",https://www.bnm.md/en/content/ebd-3292024-approval-amendment-and-repeal-some-normative-acts-national-bank-moldova,https://www.bnm.md/files/Reg LCR NSFR 329 2024 eng_1.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\043__Reg LCR NSFR 329 2024 eng_1.docx,152437,downloaded
legislation,"The Regulation on the requirements for the identification and verification of customers’ identities by electronic means, approved by the Decision No 281 of 7 November 2024",https://www.bnm.md/en/content/regulation-requirements-identification-and-verification-customers-identities-electronic,https://www.bnm.md/files/Decision n 281 of 7 November 2024 ENGL.pdf,C:\Users\harab\Desktop\BNM_site_inventory\source_files\044__Decision n 281 of 7 November 2024 ENGL.pdf,363279,downloaded
legislation,"The Regulation on the requirements for the identification and verification of customers’ identities by electronic means, approved by the Decision No 281 of 7 November 2024",https://www.bnm.md/en/content/regulation-requirements-identification-and-verification-customers-identities-electronic,https://www.bnm.md/files/Decision n 281 of 7 November 2024 ENGL.docx,C:\Users\harab\Desktop\BNM_site_inventory\source_files\045__Decision n 281 of 7 November 2024 ENGL.docx,83849,downloaded
