id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
37,legislation,"Regulation on responsible lending to consumers, approved by the Decision No 60 of 12 March 2026",https://www.bnm.md/files/Regulation on responsible lending to individuals.docx,https://www.bnm.md/en/content/regulation-responsible-lending-consumers-approved-decision-no-60-12-march-2026-effect,legal/original/037__Regulation on responsible lending to individuals.docx,legal/documents/037__Regulation on responsible lending to individuals.docx.md,8730f604a74b47f53657d2b30c4edf08bafe39a8dc9396f7b60a5e08d1065d73,07710e04bdd1692cbf9b17f5862bc0dd3bf1d7a72cc014e6b2487b8e55ba9f07,text-extracted
38,legislation,EBD 176/2025 On the approval of the Regulation on the leverage and the amendment of certain normative acts of the National Bank of Moldova,https://www.bnm.md/files/Regulation leverage ratio 176 2025 eng_1.pdf,https://www.bnm.md/en/content/regulation-leverage-banks-approved-decision-executive-board-national-bank-moldova-no274-10,legal/original/038__Regulation leverage ratio 176 2025 eng_1.pdf,legal/documents/038__Regulation leverage ratio 176 2025 eng_1.pdf.md,96c305c78dabe347b848ec724592a176d2ba00bf68e292e55a5c393eb2e91ad4,85cefc9b3d48fd0362a868d3be4f04e3a102c4bbc84d61fa621d7284a67464d9,text-extracted
39,legislation,EBD 176/2025 On the approval of the Regulation on the leverage and the amendment of certain normative acts of the National Bank of Moldova,https://www.bnm.md/files/Regulation leverage ratio 176 2025 eng_1.docx,https://www.bnm.md/en/content/regulation-leverage-banks-approved-decision-executive-board-national-bank-moldova-no274-10,legal/original/039__Regulation leverage ratio 176 2025 eng_1.docx,legal/documents/039__Regulation leverage ratio 176 2025 eng_1.docx.md,9c2e3318a971ee5e56a1699e863db52abe0697d4325c86bf52b78fc6f42840f3,9cff302e3173ba76069c429747c9ed7153c28a3b0c861b452a8b797ad30a4d1a,text-extracted
40,legislation,"Regulation on the Supervision of Foreign Exchange Entities, approved by the Decision of the Executive Board of the NBM No 163 of 17 July 2025 (in force from 30 July 2025)",https://www.bnm.md/files/1_2 HCE_Reg supraveghere_USV ENG.pdf,https://www.bnm.md/en/content/regulation-supervision-foreign-exchange-entities-approved-decision-executive-board-nbm-no,legal/original/040__1_2 HCE_Reg supraveghere_USV ENG.pdf,legal/documents/040__1_2 HCE_Reg supraveghere_USV ENG.pdf.md,1481d7781cbb04fb1eb37f6ce963a0295f7c53deaa9e6b31dae0aebd65489adb,3a66be657070177327590db3f0c596f2356ce22e2aa6be6ebd479d5aa1b6b1dd,text-extracted
41,legislation,"Regulation on the Supervision of Foreign Exchange Entities, approved by the Decision of the Executive Board of the NBM No 163 of 17 July 2025 (in force from 30 July 2025)",https://www.bnm.md/files/1_2 HCE_Reg supraveghere_USV ENG.docx,https://www.bnm.md/en/content/regulation-supervision-foreign-exchange-entities-approved-decision-executive-board-nbm-no,legal/original/041__1_2 HCE_Reg supraveghere_USV ENG.docx,legal/documents/041__1_2 HCE_Reg supraveghere_USV ENG.docx.md,9b23b3ebd16acfdb46f6a363d80502cf4f71e5aa08fc0e8ebeddc1c96d68d59a,619a1c9fd7c7c53433ec98993b0a1e5312aff4138514308d3d2dbcc1b3fc30d6,text-extracted
42,legislation,"EBD 329/2024 On approval, amendment and repeal of some normative acts Of the National Bank of Moldova (on liquidity coverage requirement and stable funding requirement)",https://www.bnm.md/files/Reg LCR NSFR 329 2024 eng.pdf,https://www.bnm.md/en/content/ebd-3292024-approval-amendment-and-repeal-some-normative-acts-national-bank-moldova,legal/original/042__Reg LCR NSFR 329 2024 eng.pdf,legal/documents/042__Reg LCR NSFR 329 2024 eng.pdf.md,36334081e66d007cdccaf4b847d676acdcc03935fa8e15317e61a0b76610968c,e6d37349e4dc49b50f5b560622af7b958930d620f249b4eeb3ae6d7a2012b8c6,text-extracted
43,legislation,"EBD 329/2024 On approval, amendment and repeal of some normative acts Of the National Bank of Moldova (on liquidity coverage requirement and stable funding requirement)",https://www.bnm.md/files/Reg LCR NSFR 329 2024 eng_1.docx,https://www.bnm.md/en/content/ebd-3292024-approval-amendment-and-repeal-some-normative-acts-national-bank-moldova,legal/original/043__Reg LCR NSFR 329 2024 eng_1.docx,legal/documents/043__Reg LCR NSFR 329 2024 eng_1.docx.md,eec91727c403492543eaef22dd36c00cdd8ed9e79eba9ee31418c4b569eac31d,909c9da8aed3d6486c44fd995362aac3748ea702bc43d8863c612e194e5fbc64,text-extracted
44,legislation,"The Regulation on the requirements for the identification and verification of customers’ identities by electronic means, approved by the Decision No 281 of 7 November 2024",https://www.bnm.md/files/Decision n 281 of 7 November 2024 ENGL.pdf,https://www.bnm.md/en/content/regulation-requirements-identification-and-verification-customers-identities-electronic,legal/original/044__Decision n 281 of 7 November 2024 ENGL.pdf,legal/documents/044__Decision n 281 of 7 November 2024 ENGL.pdf.md,a0a690acec15e1ceb17ad8093745e57df7556ec45ccbfc8c14c03fd3b37413e1,c1e6bd481a07484dabb290cc5df94b7ccb0c518a438b37cd541c6a59572537e1,text-extracted
45,legislation,"The Regulation on the requirements for the identification and verification of customers’ identities by electronic means, approved by the Decision No 281 of 7 November 2024",https://www.bnm.md/files/Decision n 281 of 7 November 2024 ENGL.docx,https://www.bnm.md/en/content/regulation-requirements-identification-and-verification-customers-identities-electronic,legal/original/045__Decision n 281 of 7 November 2024 ENGL.docx,legal/documents/045__Decision n 281 of 7 November 2024 ENGL.docx.md,7f1e6b68b79dd56b28774295b264c49c181ce02dfa0bac31ca06bd0d3b471891,4e73a6bde165dd8e70ad08ac68a0047367ebe6e9a19cae420cf7a8036e861dcf,text-extracted
46,legislation,"Regulation on carrying out controls and application of sanctions to foreign exchange entities, approved by the Decision of the Executive Board of the NBM No 187/2023",https://www.bnm.md/files/Reg ctrl_sanct USV_en_final.pdf,https://www.bnm.md/en/content/regulation-carrying-out-controls-and-application-sanctions-foreign-exchange-entities,legal/original/046__Reg ctrl_sanct USV_en_final.pdf,legal/documents/046__Reg ctrl_sanct USV_en_final.pdf.md,d3f952c9f086b83e5df6d6b2a869fc113773687657d2597950c6b408e041ea20,e296b9e07b841c9f2da5c2b771a7c7093a452dd0a9b77c67dbf2db3022cad3f7,text-extracted
