id,kind,title,file_url,source_record,original,raw,source_file_sha256,body_sha256,extraction_status
63,legislation,"Regulation on Large Exposures, approved by Decision of the Executive Board of the National Bank of Moldova no.109 of April 5, 2019 (in force as of 19.06.2019)",https://www.bnm.md/files/Regulament_109_2019_expuneri mari_eng_1.doc,https://www.bnm.md/en/content/regulation-large-exposures-approved-decision-council-administration-national-bank-moldova,original/063__Regulament_109_2019_expuneri mari_eng_1.doc,documents/063__Regulament_109_2019_expuneri mari_eng_1.doc.md,20b6b32971bbb53c0545a965694501809bb3df35d5301f22e99dcc9e660ada83,dc4ed93efd19a248d9eb620d5103c06bd04edfc336adfdc557ec96572c32865e,text-extracted
64,legislation,"Regulation on Branches and Secondary Offices of Banks, Decision of the NBM No 147 of 17.05.2019",https://www.bnm.md/files/Reg_195_EN_1.pdf,https://www.bnm.md/en/content/regulation-branches-and-secondary-offices-banks-no147-17052019,original/064__Reg_195_EN_1.pdf,documents/064__Reg_195_EN_1.pdf.md,48d8c0ad60e411ff7b1f2012d4833af5336b0f182c36e1e07cbc5419768838f8,f1a68c22f475320650ad8d7f04c2cc764a951922c303215e8cde9734a52ee917,text-extracted
65,legislation,"Regulation on Branches and Secondary Offices of Banks, Decision of the NBM No 147 of 17.05.2019",https://www.bnm.md/files/Reg_195_EN_1.doc,https://www.bnm.md/en/content/regulation-branches-and-secondary-offices-banks-no147-17052019,original/065__Reg_195_EN_1.doc,documents/065__Reg_195_EN_1.doc.md,0361f7afc5b112b4d4cd9626f246976dce4e8438f510aff87b743af7091db47c,d941817132db299db1cf91b7b91c54b7b598539892488f756b733c0e4ebc8ecd,text-extracted
66,legislation,"Regulation on Banking Activity Management Framework No. 322 of December 20, 2018 (in force since April 4, 2019) amended by Decision of the NBM no. 275 of 29.12.2022, in force 13.04.2023",https://www.bnm.md/files/Reg_322_EN_02_03_2026.pdf,https://www.bnm.md/en/content/decision-no322-december-20-2018-approval-regulation-banking-activity-management-framework,original/066__Reg_322_EN_02_03_2026.pdf,documents/066__Reg_322_EN_02_03_2026.pdf.md,49d83dd287f3b4097e432f7a33b197eea583c293870a26c25d1c2ae4a69706b9,16915980035fbf15beeb84774c7f32447a65aa202245c593468ea307aa46d8fe,text-extracted
67,legislation,"Regulation on Banking Activity Management Framework No. 322 of December 20, 2018 (in force since April 4, 2019) amended by Decision of the NBM no. 275 of 29.12.2022, in force 13.04.2023",https://www.bnm.md/files/Reg_322_EN_02_03_2026.docx,https://www.bnm.md/en/content/decision-no322-december-20-2018-approval-regulation-banking-activity-management-framework,original/067__Reg_322_EN_02_03_2026.docx,documents/067__Reg_322_EN_02_03_2026.docx.md,2ff8235a38dcc7a4a184b9372ff5662179aa70ce33988d6cbea31aa85243e510,f29c2466ef31f3e65372024fb9876d32f9db49035b9e56fc9c5be58c26c66a0a,text-extracted
68,legislation,"Regulation on the licensing of the bank and the branch of the bank from another state, approved by Decision of the Council of Administration of the National Bank of Moldova no.328 of December 13, 2019",https://www.bnm.md/files/REG 328_EN_08_12_21 (1).pdf,https://www.bnm.md/en/content/regulation-licensing-bank-and-branch-bank-another-state-approved-decision-council,original/068__REG 328_EN_08_12_21 (1).pdf,documents/068__REG 328_EN_08_12_21 (1).pdf.md,4b245d68ccae9e0ce2e35624851f73e93c353dc1eed0342591e8808f8d3eb08b,cd70e4c2ebd98b5da015449271b7ef72dcc32289b965d0f1f4e65a3642b447e5,text-extracted
69,legislation,"Regulation on the licensing of the bank and the branch of the bank from another state, approved by Decision of the Council of Administration of the National Bank of Moldova no.328 of December 13, 2019",https://www.bnm.md/files/REG 328_EN_08_12_21 (1).doc,https://www.bnm.md/en/content/regulation-licensing-bank-and-branch-bank-another-state-approved-decision-council,original/069__REG 328_EN_08_12_21 (1).doc,documents/069__REG 328_EN_08_12_21 (1).doc.md,1896963586f81963ce6807fdde6a72d0588b523722ed652e4672b350937a8277,8a0fab51fc8e936c2e5608699d7fe09d4af69c2d8dbd1cadafda4ed2482f175f,text-extracted
70,legislation,"Regulation on Requirements Regarding the Members of the Governing Body of the Bank, the Financial Holding Company or Mixed Holding, the Heads of a Branch of a Bank from Another State, the Persons Holding Key Positions and the Liquidator of the Bank in Liquidation Process No 292 of 29.11.2018",https://www.bnm.md/files/REG_292_EN_02_03_26.pdf,https://www.bnm.md/en/content/regulation-requirements-regarding-members-governing-body-bank-financial-holding-company-or,original/070__REG_292_EN_02_03_26.pdf,documents/070__REG_292_EN_02_03_26.pdf.md,5912055ea24fb26c507d55e05e2218f4ac3818f36e1127722cfda586e8d0877b,6c6cc282b93e5fb79c5ec3adc1d6a185fa0f944e97f2379b867f3ae1a0ed2426,text-extracted
71,legislation,"Regulation on Requirements Regarding the Members of the Governing Body of the Bank, the Financial Holding Company or Mixed Holding, the Heads of a Branch of a Bank from Another State, the Persons Holding Key Positions and the Liquidator of the Bank in Liquidation Process No 292 of 29.11.2018",https://www.bnm.md/files/REG_292_EN_02_03_26.doc,https://www.bnm.md/en/content/regulation-requirements-regarding-members-governing-body-bank-financial-holding-company-or,original/071__REG_292_EN_02_03_26.doc,documents/071__REG_292_EN_02_03_26.doc.md,94021d74b639dec1fed3759345e3a1bf87646cad029cc2e666a6f6f7a9515125,1c63b87ef0b4ca0063f2363cbaf12fb9f73b32f2a82cb13efc68abf8957cf527,text-extracted
72,legislation,"Regulation on requirements for prevention and combating money laundering and terrorism financing in the activity of Foreign Exchange Entities and Hotels No. 201 of 09 August, 2018",https://www.bnm.md/files/R201-Eng_track changes_rev.pdf,https://www.bnm.md/en/content/regulation-requirements-related-prevention-and-combating-money-laundering-and-terrorism,original/072__R201-Eng_track changes_rev.pdf,documents/072__R201-Eng_track changes_rev.pdf.md,2c657c1b4d156a16176fa22c7800e8d544542eb57791092ca113316abae04602,af8741d9bd78bd43fded02e22fb2b19ec815d8ae75082755bc996f0c2abe54d7,text-extracted
